Temperature, Humidity
31.803998,48.859998
31.803998,48.859998
31.803998,48.859998
31.803998,48.859998
31.803998,48.859998
31.825360,48.875257
31.825360,48.875257
31.825360,48.875257
31.825360,48.875257
31.825360,48.875257
31.825360,48.875257
31.825360,48.875257
31.825360,48.875257
31.825360,48.875257
31.825360,48.875257
31.825360,48.875257
31.836042,48.882887
31.836042,48.882887
31.836042,48.882887
31.836042,48.882887
31.836042,48.882887
31.836042,48.882887
31.836042,48.882887
31.836042,48.882887
31.836042,48.882887
31.836042,48.882887
31.836042,48.882887
31.814679,48.867628
31.814679,48.867628
31.814679,48.867628
31.814679,48.867628
31.814679,48.867628
31.814679,48.867628
31.833371,48.880980
31.833371,48.880980
31.833371,48.880980
31.833371,48.880980
31.833371,48.880980
31.833371,48.880980
31.833371,48.880980
31.833371,48.880980
31.833371,48.880980
31.833371,48.880980
31.838712,48.884794
31.838712,48.884794
31.838712,48.884794
31.838712,48.884794
31.838712,48.884794
31.838712,48.884794
31.838712,48.884794
31.838712,48.884794
31.838712,48.884794
31.838712,48.884794
31.838712,48.884794
31.857404,48.898146
31.857404,48.898146
31.857404,48.898146
31.857404,48.898146
31.857404,48.898146
31.857404,48.898146
31.857404,48.898146
31.857404,48.898146
31.857404,48.898146
31.857404,48.898146
31.857404,48.898146
31.886778,48.919127
31.886778,48.919127
31.886778,48.919127
31.886778,48.919127
31.886778,48.919127
31.886778,48.919127
31.886778,48.919127
31.886778,48.919127
31.886778,48.919127
31.886778,48.919127
31.886778,48.919127
31.865415,48.903868
31.865415,48.903868
31.865415,48.903868
31.865415,48.903868
31.865415,48.903868
31.865415,48.903868
31.865415,48.903868
31.865415,48.903868
31.865415,48.903868
31.865415,48.903868
31.865415,48.903868
31.849393,48.892424
31.849393,48.892424
31.849393,48.892424
31.849393,48.892424
31.849393,48.892424
31.849393,48.892424
31.849393,48.892424
31.849393,48.892424
31.849393,48.892424
31.849393,48.892424
31.916152,48.940108
31.916152,48.940108
31.916152,48.940108
31.916152,48.940108
31.916152,48.940108
31.916152,48.940108
31.916152,48.940108
31.916152,48.940108
31.916152,48.940108
31.916152,48.940108
31.916152,48.940108
31.916152,48.940108
31.913481,48.938201
31.913481,48.938201
31.913481,48.938201
31.913481,48.938201
31.913481,48.938201
31.913481,48.938201
31.913481,48.938201
31.913481,48.938201
31.948196,48.962997
31.948196,48.962997
31.948196,48.962997
31.948196,48.962997
31.948196,48.962997
31.948196,48.962997
31.948196,48.962997
31.948196,48.962997
31.948196,48.962997
31.977569,48.983978
31.977569,48.983978
31.977569,48.983978
31.977569,48.983978
31.977569,48.983978
31.977569,48.983978
31.977569,48.983978
31.977569,48.983978
31.977569,48.983978
31.977569,48.983978
31.977569,48.983978
31.969558,48.978256
31.969558,48.978256
31.969558,48.978256
31.969558,48.978256
31.969558,48.978256
31.969558,48.978256
31.969558,48.978256
31.969558,48.978256
31.969558,48.978256
31.969558,48.978256
31.969558,48.978256
